identifier;author;title;journal;year;group-short;group-long;country
Santafe2015;Santafe, Guzman and Inza, I{\~{n}}aki and Lozano, Jose A.;Dealing with the evaluation of supervised classification algorithms;Artificial Intelligence Review;2015;evaluation-methods;evaluation-methods;Spain, Spain, Spain
Enriquez2016;Fernando Enr{\'{\i}}quez and Jos{\'{e}} A. Troyano and Tom{\'{a}}s L{\'{o}}pez{-}Solaz;An approach to the use of word embeddings in an opinion classification task;Expert Systems with Applications;2016;feature-construction;feature-construction;Spain, Spain, Spain
Garcia-Pablos2018;Garc{\'\i}a-Pablos, Aitor and Cuadros, Montse and Rigau, German;W2VLDA: Almost Unsupervised System for Aspect Based Sentiment Analysis;Expert Systems with Applications;2018;classification-system-and-application-areas;classification-system-and-application-areas-sentiment-analysis;Spain, Spain, Spain
Garcia2017;Garc{\'\i}a, Marcos Antonio Mouri{\~n}o and Rodr{\'\i}guez, Roberto P{\'e}rez and Rif{\'o}n, Luis Anido;Wikipedia-based cross-language text classification;Information Sciences;2017;classification-system-and-application-areas;classification-system-and-application-areas-cross-multi-lingual;Spain, Spain, Spain
Ibanez2014;Alfonso Ib{\'{a}}{\~{n}}ez and Concha Bielza and Pedro Larra{\~{n}}aga;Cost-sensitive selective naive Bayes classifiers for predicting the increase of the h-index for scientific journals;Neurocomputing;2014;;;Spain, Spain, Spain
Zelaia2011;Zelaia, Ana and Alegria, I{\~n}aki and Arregi, Olatz and Sierra, Basilio;A multiclass/multilabel document categorization system: Combining multiple classifiers in a reduced dimension;Applied Soft Computing;2011;learning-ensamble;learning-ensamble;Spain, Spain, Spain, Spain
GarcaAdeva20141498;J.J. García Adeva and J.M. Pikatza Atxa and M. Ubeda Carrillo and E. Ansuategi Zengotitabengoa;Automatic text classification to support systematic reviews in medicine;Expert Systems with Applications;2014;classification-system-and-application-areas;classification-system-and-application-areas;Spain, Spain, Spain, Spain
Araque2017;Araque, Oscar and Corcuera-Platas, Ignacio and S{\'a}nchez-Rada, J Fernando and Iglesias, Carlos A;Enhancing deep learning sentiment analysis with ensemble techniques in social applications;Expert Systems with Applications;2017;classification-system-and-application-areas;classification-system-and-application-areas-sentiment-analysis;Spain, Spain, Spain, Spain
Seijo-Pardo2017;Borja Seijo{-}Pardo and Iago Porto{-}D{\'{\i}}az and Ver{\'{o}}nica Bol{\'{o}}n{-}Canedo and Amparo Alonso{-}Betanzos;Ensemble feature selection: Homogeneous and heterogeneous approaches;Knowledge-Based Systems;2017;feature-selection;feature-selection;Spain, Spain, Spain, Spain
DBLP:journals/ir/GiachanouSP15;Anastasia Giachanou and Michail Salampasis and Georgios Paltoglou;Multilayer source selection as a tool for supporting patent search and classification;Information Retrieval Journal;2015;classification-system-and-application-areas;classification-system-and-application-areas;Switzerland, Greece, United Kingdom
Lin2009;Shui{-}Shun Lin;A document classification and retrieval system for R{\&}D in semiconductor industry - {A} hybrid approach;Expert Systems with Applications;2009;classification-system-and-application-areas;classification-system-and-application-areas;Taiwan
Wong20152839;Tzu-Tsung Wong;Performance evaluation of classification algorithms by k-fold and leave-one-out cross validation;Pattern Recognition;2015;evaluation-methods;evaluation-methods;Taiwan
Tsai2013;Chih{-}Fong Tsai and Che{-}Wei Chang;{SVOIS:} Support Vector Oriented Instance Selection for text classification;Information Sciences;2013;instance-selection;instance-selection;Taiwan, Taiwan
Trappey2006;Amy J. C. Trappey and Fu{-}Chiang Hsu and Charles V. Trappey and Chia{-}I Lin;Development of a patent document classification and search platform using a back-propagation network;Expert Systems with Applications;2006;classification-system-and-application-areas;classification-system-and-application-areas;Taiwan, Taiwan, Australia, Taiwan
Wei2011;Wei, Chih-Ping and Lin, Yen-Ting and Yang, Christopher C;Cross-lingual text categorization: Conquering language boundaries in globalized environments;Information Processing and Management;2011;classification-system-and-application-areas;classification-system-and-application-areas-cross-multi-lingual;Taiwan, Taiwan, United States
JMLR:v15:vandermaaten14a;Laurens van der Maaten;Accelerating t-SNE using Tree-Based Algorithms;Journal of Machine Learning Research;2014;feature-projection;feature-projection;The Netherlands
ictdbid:2777;Laurens van der Maaten and Geoffrey E. Hinton;Visualizing High-Dimensional Data Using t-SNE;Journal of Machine Learning Research;2008;feature-projection;feature-projection;The Netherlands, Canada
Vanderlooy2008;"Stijn Vanderlooy and Eyke H{\""{u}}llermeier";A critical analysis of variants of the AUC;Machine Learning;2008;evaluation-methods;evaluation-methods;The Netherlands, Germany
Knijff2013;Jeroen de Knijff and Flavius Frasincar and Frederik Hogenboom;Domain taxonomy learning from text: The subsumption method versus hierarchical clustering;Data \& Knowledge Engineering;2013;feature-construction;feature-construction;The Netherlands, The Netherlands, The Netherlands
Duin2010;Duin, Robert PW and Loog, Marco and P{\c e}kalska, El{\.z}bieta and Tax, David MJ;Feature-Based Dissimilarity Space Classification;Recognizing Patterns in Signals, Speech, Images and Videos;2010;feature-construction;feature-construction;The Netherlands, The Netherlands, United Kingdom, The Netherlands
Uysal2016;Uysal, Alper Kursat;An improved global feature selection scheme for text classification;Expert Systems with Applications;2016;feature-selection;feature-selection;Turkey
Uguz2011;Harun Uguz;A two-stage feature selection method for text categorization by using information gain, principal component analysis and genetic algorithm;Knowledge-Based Systems;2011;feature-projection;feature-projection;Turkey
Alpaydin2015;Alpayd{\i}n, Ethem and Cheplygina, Veronika and Loog, Marco and Tax, David MJ;Single-vs. multiple-instance classification;Pattern Recognition;2015;learning-multiple-instance;learning-multiple-instance;Turkey, The Netherlands, The Netherlands, The Netherlands
Altincay2014;Alt{\i}n{\c{c}}ay, Hakan and Erenel, Zafer;Ternary encoding based feature extraction for binary text classification;Applied Intelligence;2014;learning-classification-binaryclass;learning-classification-binaryclass;Turkey, Turkey
Catal2017135;Cagatay Catal and Mehmet Nangir;A sentiment classification model based on multiple classifiers;Applied Soft Computing;2017;classification-system-and-application-areas;classification-system-and-application-areas, learning-ensamble;Turkey, Turkey
Badawi2014;Dima Badawi and Hakan Altin{\c{c}}ay;A novel framework for termset selection and weighting in binary text classification;Engineering Applications of Artificial Intelligence;2014;feature-selection;feature-selection;Turkey, Turkey
Altinel2016;Alt{\i}nel, Berna and Ganiz, Murat Can;A new hybrid semi-supervised algorithm for text classification with class-based semantics;Knowledge-Based Systems;2016;learning-semi-suppervised;learning-semi-suppervised;Turkey, Turkey
Uysal2012;"Alper Kursat Uysal and Serkan G{\""{u}}nal";A novel probabilistic feature selection method for text classification;Knowledge-Based Systems;2012;feature-selection;feature-selection;Turkey, Turkey
7130164;B. Parlak and A. K. Uysal;Classification of medical documents according to diseases;Proceedings of the 23nd Signal Processing and Communications Applications Conference (SIU);2015;classification-system-and-application-areas;classification-system-and-application-areas;Turkey, Turkey
Altinel2015;Alt{\i}nel, Berna and Ganiz, Murat Can and Diri, Banu;A corpus-based semantic kernel for text classification by using meaning values of terms;Engineering Applications of Artificial Intelligence;2015;feature-construction;feature-construction;Turkey, Turkey, Turkey
Altinel2017;Alt{\i}nel, Berna and Ganiz, Murat Can and Diri, Banu;Instance labeling in semi-supervised learning with meaning values of words;Engineering Applications of Artificial Intelligence;2017;learning-semi-suppervised;learning-semi-suppervised;Turkey, Turkey, Turkey
Onan2016;Onan, Aytu{\u{g}} and Koruko{\u{g}}lu, Serdar and Bulut, Hasan;A multiobjective weighted voting ensemble classifier based on differential evolution algorithm for text sentiment classification;Expert Systems with Applications;2016;classification-system-and-application-areas;classification-system-and-application-areas-sentiment-analysis;Turkey, Turkey, Turkey
ONAN2016232;Aytug Onan and Serdar Korukoglu and Hasan Bulut;Ensemble of keyword extraction methods and classifiers in text classification;Expert Systems with Applications;2016;feature-construction;feature-construction;Turkey, Turkey, Turkey
Tutkan2016;Tutkan, Melike and Ganiz, Murat Can and Akyoku{\c{s}}, Selim;Helmholtz principle based supervised and unsupervised feature selection methods for text mining;Information Processing and Management;2016;feature-selection;feature-selection;Turkey, Turkey, Turkey
Li20071183;Yaoyong Li and John Shawe-Taylor;Advanced learning algorithms for cross-language patent retrieval and classification;Information Processing and Management;2007;classification-system-and-application-areas;classification-system-and-application-areas;United Kingdom, United Kingdom
Bandhakavi2017;Anil Bandhakavi and Nirmalie Wiratunga and Deepak Padmanabhan and Stewart Massie;Lexicon based feature extraction for emotion text classification;Pattern Recognition Letters;2017;feature-construction;feature-construction;United Kingdom, United Kingdom, United Kingdom, United Kingdom
DBLP:conf/trec/RobertsonWJHG94;Stephen E. Robertson and Steve Walker and Susan Jones and Micheline Hancock-Beaulieu and Gatford, M;Okapi at TREC-3;;1994;feature-weight;feature-weight;United Kingdom, United Kingdom, United Kingdom, United Kingdom, United Kingdom
Burges2010;Christopher J. C. Burges;Dimension Reduction: {A} Guided Tour;Foundations and Trends in Machine Learning;2010;feature-projection;feature-projection;United States
Ke2015;Weimao Ke;Information-theoretic term weighting schemes for document clustering and classification;International Journal on Digital Libraries;2015;feature-weight;feature-weight;United States
Wolpert92stackedgeneralization;David H. Wolpert;Stacked Generalization;Neural Networks;1992;learning-ensamble;learning-ensamble;United States
Mostafa2000415;J. Mostafa and W. Lam;Automatic classification using supervised learning in a medical document filtering application;Information Processing and Management;2000;classification-system-and-application-areas;classification-system-and-application-areas;United States, China
Wang2009;Pu Wang and Jian Hu and Hua{-}Jun Zeng and Zheng Chen;Using Wikipedia knowledge to improve text classification;Knowledge and Information Systems;2009;feature-construction;feature-construction;United States, China, China, China
Guyon:2003:IVF:944919.944968;Guyon, Isabelle and Elisseeff, Andr{\'e};An Introduction to Variable and Feature Selection;Journal of Machine Learning Research;2003;feature-selection;feature-selection;United States, Germany
Sun2016;Sun, Baochen and Feng, Jiashi and Saenko, Kate;Return of Frustratingly Easy Domain Adaptation.;Proceedings of the Thirtieth AAAI Conference on Artificial Intelligence;2016;learning-transfer;learning-transfer;United States, Singapore, United States
Cunningham2015;Cunningham, John P and Ghahramani, Zoubin;Linear dimensionality reduction: survey, insights, and generalizations.;Journal of Machine Learning Research;2015;feature-projection;feature-projection;United States, United Kingdom
Krawczyk2017;Krawczyk, Bartosz and Minku, Leandro L and Gama, Jo{\~a}o and Stefanowski, Jerzy and Wo{\'z}niak, Micha{\l};Ensemble learning for data stream analysis: a survey;Information Fusion;2017;learning-ensamble-data-stream;learning-ensamble-data-stream;United States, United Kingdom, Portugal, Poland, Poland
Qi:2009:WPC:1459352.1459357;Qi, Xiaoguang and Davison, Brian D.;Web Page Classification: Features and Algorithms;ACM Computing Surveys;2009;classification-system-and-application-areas;classification-system-and-application-areas;United States, United States
Forman2010;Forman, George and Scholz, Martin;Apples-to-apples in Cross-validation Studies: Pitfalls in Classifier Performance Measurement;ACM SIGKDD Explorations Newsletter;2010;evaluation-methods;evaluation-methods;United States, United States
Do2006;Do, Chuong B and Ng, Andrew Y;Transfer learning for text classification;Advances in Neural Information Processing Systems;2006;learning-transfer;learning-transfer;United States, United States
Kontostathis2006;April Kontostathis and William M. Pottenger;A framework for understanding Latent Semantic Indexing (LSI);Information Processing and Management;2006;feature-projection;feature-projection;United States, United States
Ruiz2002;Ruiz, Miguel E and Srinivasan, Padmini;Hierarchical text categorization using neural networks;Information Retrieval Journal;2002;learning-classification-hierarhical;learning-classification-hierarhical;United States, United States
Aggarwal2012;Aggarwal, Charu C and Zhai, Cheng Xiang;A survey of text classification algorithms;Mining text data;2012;review-survey-overview-works;review-survey-overview-works;United States, United States
Blum1998;Blum, Avrim and Mitchell, Tom;Proceedings of the eleventh annual conference on Computational learning theory;Proceedings of the eleventh annual conference on Computational learning theory;1998;learning-semi-suppervised;learning-semi-suppervised;United States, United States
Mihalcea2011;Mihalcea, Rada and Radev, Dragomir;Graph-based natural language processing and information retrieval;;2011;document-representation;document-representation;United States, United States
7393866;B. Tang and H. He and P. M. Baggenstoss and S. Kay;A Bayesian Classification Approach Using Class-Specific Features for Text Categorization;IEEE Transactions on Knowledge and Data Engineering;2016;feature-selection;feature-selection;United States, United States, Germany, United States
Zhou2010;Yang Zhou and Rong Jin and Steven C. H. Hoi;Exclusive Lasso for Multi-task Feature Selection;Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS;2010;feature-selection;feature-selection;United States, United States, Singapore
Schenker2005a;Schenker, A and Bunke, H and Last, M and Kandel, A;Graph-Theoretic Techniques for Web Content Mining. Series in Machine Perception and Artificial Intelligence, vol. 62;;2005;document-representation;document-representation;United States, United States, Switzerland, Israel
Abbasi2008;Abbasi, Ahmed and Chen, Hsinchun and Salem, Arab;Sentiment analysis in multiple languages: Feature selection for opinion classification in web forums;ACM Transactions on Information Systems;2008;classification-system-and-application-areas;classification-system-and-application-areas;United States, United States, United States
Tang2016;Bo Tang and Steven Kay and Haibo He;Toward Optimal Feature Selection in Naive Bayes for Text Categorization;IEEE Transactions on Knowledge and Data Engineering;2016;feature-selection;feature-selection;United States, United States, United States
Weiss2016;Weiss, Karl and Khoshgoftaar, Taghi M and Wang, DingDing;A survey of transfer learning;Journal of Big Data;2016;learning-transfer;learning-transfer;United States, United States, United States
Bui2016;Bui, Duy Duc An and Del Fiol, Guilherme and Jonnalagadda, Siddhartha;PDF text classification to leverage information extraction from publication reports;Journal of biomedical informatics;2016;classification-system-and-application-areas;classification-system-and-application-areas;United States, United States, United States
Kim2005;Kim, Hyunsoo and Howland, Peg and Park, Haesun;Dimension reduction in text classification with support vector machines;Journal of Machine Learning Research;2005;feature-projection;feature-projection;United States, United States, United States
Dasigi2001;Venu Dasigi and Reinhold C. Mann and Vladimir A. Protopopescu;Information fusion for text classification - an experimental comparison;Pattern Recognition;2001;learning-multiview;learning-multiview;United States, United States, United States
Mikolov2013;Mikolov, Tomas and Yih, Wen-tau and Zweig, Geoffrey;Linguistic regularities in continuous space word representations.;Proceedings of the 2013 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies (NAACL-HLT-2013);2013;feature-construction;feature-construction;United States, United States, United States
Pennington2014;Pennington, Jeffrey and Socher, Richard and Manning, Christopher;Glove: Global vectors for word representation;Proceedings of the 2014 conference on empirical methods in natural language processing (EMNLP);2014;feature-construction;feature-construction;United States, United States, United States
Gollapalli:2015:IRH:2830542.2767135;Gollapalli, Sujatha Das and Caragea, Cornelia and Mitra, Prasenjit and Giles, C. Lee;Improving Researcher Homepage Classification with Unlabeled Data;ACM Transactions on the Web;2015;classification-system-and-application-areas;classification-system-and-application-areas;United States, United States, United States, United States
Gollapalli:2011:IAH:1998076.1998099;Gollapalli, Sujatha Das and Giles, C. Lee and Mitra, Prasenjit and Caragea, Cornelia;On Identifying Academic Homepages for Digital Libraries;Proceedings of the 11th Annual International ACM/IEEE Joint Conference on Digital Libraries;2011;classification-system-and-application-areas;classification-system-and-application-areas;United States, United States, United States, United States
Gollapalli:2013:RHC:2488388.2488430;Gollapalli, Sujatha Das and Caragea, Cornelia and Mitra, Prasenjit and Giles, C. Lee;Researcher Homepage Classification Using Unlabeled Data;Proceedings of the 22Nd International Conference on World Wide Web;2013;classification-system-and-application-areas;classification-system-and-application-areas;United States, United States, United States, United States
VanLinh2017;Van Linh, Ngo and Anh, Nguyen Kim and Than, Khoat and Dang, Chien Nguyen;An effective and interpretable method for document classification;Knowledge and Information Systems;2017;classification-system-and-application-areas;classification-system-and-application-areas;Vietnam, Vietnam, Vietnam, Vietnam
ba28090bc0e64ddaacc012717148d888;Tony Bellotti and Ilia Nouretdinov and Meng Yang and Alex Gammerman;Feature Selection;Conformal Prediction for Reliable Machine Learning;2014;feature-selection;feature-selection;
ref1;Sammut, Claude and Webb, Geoffrey I.;Encyclopedia of Machine Learning;Encyclopedia of Machine Learning;2010;evaluation-methods;evaluation-methods;
ref1roc;Sammut, Claude and Webb, Geoffrey I.;Encyclopedia of Machine Learning;Encyclopedia of Machine Learning;2010;evaluation-methods;evaluation-methods;
Flach2010;Flach, Peter A.;Encyclopedia of Machine Learning;Encyclopedia of Machine Learning;2010;evaluation-methods;evaluation-methods;
Vlachos2010;Vlachos, Michail;Encyclopedia of Machine Learning;Encyclopedia of Machine Learning;2010;feature-projection;feature-projection, feature-selection;
Cohn2010;Cohn, David;Encyclopedia of Machine Learning;Encyclopedia of Machine Learning;2010;learning-active;learning-active;
Sammut2010;Sammut, Claude and Webb, Geoffrey I.;Encyclopedia of Machine Learning;Encyclopedia of Machine Learning;2010;learning-ensamble;learning-ensamble;
Muslea2010;Muslea, Ion;Encyclopedia of Machine Learning;Encyclopedia of Machine Learning;2010;learning-semi-suppervised;learning-semi-suppervised;
Zhu2010;Zhu, Xiaojin;Encyclopedia of Machine Learning;Encyclopedia of Machine Learning;2010;learning-semi-suppervised;learning-semi-suppervised;
Vilalta2010;Vilalta, Ricardo and Giraud-Carrier, Christophe and Brazdil, Pavel and Soares, Carlos;Encyclopedia of Machine Learning;Encyclopedia of Machine Learning;2010;learning-transfer;learning-transfer;
Ray2010;Ray, Soumya and Scott, Stephen and Blockeel, Hendrik;Multi-Instance Learning;Encyclopedia of Machine Learning;2010;learning-multiple-instance;learning-multiple-instance;
MLSL2010;Sammut, Claude and Webb, Geoffrey I.;Encyclopedia of Machine Learning and Data Mining;Encyclopedia of Machine Learning and Data Mining;2017;;;
Sammon:1969:NMD:1310162.1310727;Sammon, J. W.;A Nonlinear Mapping for Data Structure Analysis;IEEE Transactions on Computers;1969;feature-projection;feature-projection;
Witten2016;Witten, Ian H and Frank, Eibe and Hall, Mark A and Pal, Christopher J;Data Mining: Practical machine learning tools and techniques;;2016;;;
Brown2010;Brown, Gavin;Encyclopedia of Machine Learning;;2010;learning-ensamble;learning-ensamble;
Manning:2008:IIR:1394399;"Manning, Christopher D. and Raghavan, Prabhakar and Sch\""{u}tze, Hinrich";Introduction to Information Retrieval;;2008;feature-weight;feature-weight, document-representation, feature-selection, evaluation-methods;
DBLP:books/sp/HerreraVBCZSV16;Francisco Herrera and Sebasti{\'{a}}n Ventura and Rafael Bello and Chris Cornelis and Amelia Zafra and D{\'{a}}nel S{\'{a}}nchez Tarrag{\'{o}} and Sarah Vluymans;Multiple Instance Learning - Foundations and Algorithms;;2016;learning-multiple-instance;learning-multiple-instance;
nla.cat-vn2329663;Mardia, K. V. and Kent, J. T. and Bibby, J. M.;Multivariate analysis;;1979;feature-projection;feature-projection;
books/daglib/0082602;Schürmann, Jürgen;Pattern classification - a unified view of statistical and neural approaches.;;1996;feature-selection;feature-selection;
Ripley:1995:PRN:546466;Ripley, Brian D. and Hjort, N. L.;Pattern Recognition and Neural Networks;;1995;feature-projection;feature-projection;
Hand2001;Hand, David J and Mannila, Heikki and Smyth, Padhraic;Principles of data mining;;2001;document-representation;document-representation;
Aas1999;Aas, Kjersti and Eikvil, Line;Text categorisation: A survey;;1999;review-survey-overview-works;review-survey-overview-works;
Liu:2006:WDM:1215470;Liu, Bing;Web Data Mining: Exploring Hyperlinks, Contents, and Usage Data (Data-Centric Systems and Applications);;2006;;;
Aggarwal2015;Aggarwal, Charu C;Data mining: the textbook;;2015;;;
