identifier;author;title;journal;year;group-short;group-long;country
Wang2013;Wang, Deqing and Wu, Junjie and Zhang, Hui and Xu, Ke and Lin, Mengxiang;Towards enhancing centroid classifier for text classification—A border-instance approach;Neurocomputing;2013;classification-system-and-application-areas;classification-system-and-application-areas;China, China, China, China, China
Wang2016;Wang, Peng and Xu, Bo and Xu, Jiaming and Tian, Guanhua and Liu, Cheng-Lin and Hao, Hongwei;Semantic expansion using word embedding clustering and convolutional neural network for improving short text classification;Neurocomputing;2016;feature-construction;feature-construction;China, China, China, China, China, China
Wu2017;Zongda Wu and Hui Zhu and Guiling Li and Zongmin Cui and Hui Huang and Jun Li and Enhong Chen and Guandong Xu;An efficient Wikipedia semantic matching approach to text document classification;Information Sciences;2017;feature-construction;feature-construction;China, China, China, China, China, China, China, Australia
Shen2016;Shen, Liming and Chen, Huiling and Yu, Zhe and Kang, Wenchang and Zhang, Bingyu and Li, Huaizhong and Yang, Bo and Liu, Dayou;Evolving support vector machines using fruit fly optimization for medical data classification;Knowledge-Based Systems;2016;classification-system-and-application-areas;classification-system-and-application-areas;China, China, China, China, China, China, China, China
Zhang2017;Zhang, Yuhong and Chu, Guang and Li, Peipei and Hu, Xuegang and Wu, Xindong;Three-layer concept drifting detection in text data streams;Neurocomputing;2017;classification-system-and-application-areas;classification-system-and-application-areas-text-data-streams;China, China, China, China, United States
Guan2013;Hu Guan and Jingyu Zhou and Bin Xiao and Minyi Guo and Tao Yang;Fast dimension reduction for document classification based on imprecise spectrum analysis;Information Sciences;2013;feature-projection;feature-projection;China, China, Hong Kong, China, United States
Li2017a;Li, Xiangsheng and Rao, Yanghui and Xie, Haoran and Lau, Raymond Yiu Keung and Yin, Jian and Wang, Fu Lee;Bootstrapping Social Emotion Classification with Semantically Rich Hybrid Neural Networks;IEEE Transactions on Affective Computing;2017;classification-system-and-application-areas;classification-system-and-application-areas-sentiment-analysis;China, China, Hong Kong, Hong Kong, China, Hong Kong
Luo2011;Qiming Luo and Enhong Chen and Hui Xiong;A semantic term weighting scheme for text categorization;Expert Systems with Applications;2011;feature-weight;feature-weight;China, China, United States
Li2017;Li, Yun and Li, Tao and Liu, Huan;Recent advances in feature selection and its applications;Knowledge and Information Systems;2017;feature-selection;feature-selection;China, China, United States
Xie2017;Fei Xie and Xindong Wu and Xingquan Zhu;Efficient sequential pattern mining with wildcards for keyphrase extraction;Knowledge-Based Systems;2017;feature-construction;feature-construction;China, China, United States
Du2018;Du, Yongping and Liu, Jingxuan and Ke, Weimao and Gong, Xuemei;Hierarchy construction and text classification based on the relaxation strategy and least information model;Expert Systems with Applications;2018;learning-classification-hierarhical;learning-classification-hierarhical;China, China, United States, United States
Rao2017;Rao, Yanghui and Li, Qing and Wu, Qingyuan and Xie, Haoran and Wang, Fu Lee and Wang, Tao;A multi-relational term scheme for first story detection;Neurocomputing;2017;feature-weight;feature-weight;China, Hong Kong, China, Hong Kong, Hong Kong, United Kingdom
Kral2014;Pavel Kr{\'{a}}l;Named Entities as New Features for Czech Document Classification;Proceedings of the Computational Linguistics and Intelligent Text Processing - 15th International Conference, CICLing 2014, Kathmandu, Nepal, April 6-12, 2014, Proceedings, Part II;2014;feature-construction;feature-construction;Czech Republic
Saleh2017;Saleh, Ahmed I and Abulwafa, Arwa E and Al Rahmawy, Mohammed F;"A web page distillation strategy for efficient focused crawling based on optimized Na\""\i";Applied Soft Computing;2017;classification-system-and-application-areas;classification-system-and-application-areas-focused-crawling;Egypt, Egypt, Egypt
Saleh2017a;Saleh, Ahmed I and Al Rahmawy, Mohammed F and Abulwafa, Arwa E;A semantic based Web page classification strategy using multi-layered domain ontology;World Wide Web;2017;feature-construction;feature-construction;Egypt, Egypt, Egypt
Elghazel2016;Haytham Elghazel and Alex Aussem and Ouadie Gharroudi and Wafa Saadaoui;Ensemble multi-label text categorization based on rotation forest and latent semantic indexing;Expert Systems with Applications;2016;learning-classification-multilabel;learning-classification-multilabel, learning-ensamble;France, France, France, France
bouma2009normalized;Bouma, G.;From Form to Meaning: Processing Texts Automatically, Proceedings of the Biennial GSCL Conference 2009;From Form to Meaning: Processing Texts Automatically, Proceedings of the Biennial GSCL Conference 2009;2009;feature-selection;feature-selection;Germany
Thorleuchter2013;Dirk Thorleuchter and Dirk Van den Poel;Technology classification with latent semantic indexing;Expert Systems with Applications;2013;classification-system-and-application-areas;classification-system-and-application-areas;Germany, Belgium
Scholkopf:1998:NCA:295919.295960;"Sch\""{o}lkopf, Bernhard and Smola, Alexander and M\""{u}ller, Klaus-Robert";Nonlinear Component Analysis As a Kernel Eigenvalue Problem;Neural Computation;1998;feature-projection;feature-projection;Germany, Germany, Germany
Perikos2016191;Isidoros Perikos and Ioannis Hatzilygeroudis;Recognizing emotions in text using ensemble of classifiers;Engineering Applications of Artificial Intelligence;2016;classification-system-and-application-areas;classification-system-and-application-areas;Greece, Greece
Katakis2010;Ioannis Katakis and Grigorios Tsoumakas and Ioannis P. Vlahavas;Tracking recurring contexts using ensemble classifiers: an application to email filtering;Knowledge and Information Systems;2010;classification-system-and-application-areas;classification-system-and-application-areas-text-data-streams;Greece, Greece, Greece
Charalampakis2016;Charalampakis, Basilis and Spathis, Dimitris and Kouslis, Elias and Kermanidis, Katia;A comparison between semi-supervised and supervised text mining techniques on detecting irony in greek political tweets;Engineering Applications of Artificial Intelligence;2016;classification-system-and-application-areas;classification-system-and-application-areas;Greece, Greece, Greece, Greece
Agathangelou2017;Agathangelou, Pantelis and Katakis, Ioannis and Koutoulakis, Ioannis and Kokkoras, Fotis and Gunopulos, Dimitrios;Learning patterns for discovering domain-oriented opinion words;Knowledge and Information Systems;2017;feature-construction;feature-construction;Greece, Greece, Greece, Greece, Greece
Giatsoglou2017;Giatsoglou, Maria and Vozalis, Manolis G and Diamantaras, Konstantinos and Vakali, Athena and Sarigiannidis, George and Chatzisavvas, Konstantinos Ch;Sentiment analysis leveraging emotions and word embeddings;Expert Systems with Applications;2017;classification-system-and-application-areas;classification-system-and-application-areas-sentiment-analysis;Greece, Greece, Greece, Greece, Greece, Greece
Li:2009:FFS:1690219.1690243;Li, Shoushan and Xia, Rui and Zong, Chengqing and Huang, Chu-Ren;A Framework of Feature Selection Methods for Text Categorization;Proceedings of the Joint Conference of the 47th Annual Meeting of the ACL and the 4th International Joint Conference on Natural Language Processing of the AFNLP: Volume 2 - Volume 2;2009;feature-selection;feature-selection;Hong Kong, China, China, Hong Kong
Liu2014;James N. K. Liu and Yu{-}Lin He and Edward H. Y. Lim and Xizhao Wang;Domain ontology graph model and its application in Chinese text classification;Neural Computing and Applications;2014;feature-construction;feature-construction;Hong Kong, China, Hong Kong, China
Tan2014;Ben Tan and Erheng Zhong and Evan Wei Xiang and Qiang Yang;Multi-transfer: Transfer learning with multiple views and multiple sources;Statistical Analysis and Data Mining;2014;learning-transfer;learning-transfer;Hong Kong, Hong Kong, Hong Kong, Hong Kong
Li2014;Xiaodong Li and Haoran Xie and Li Chen and Jianping Wang and Xiaotie Deng;News impact on stock price return via sentiment analysis;Knowledge-Based Systems;2014;classification-system-and-application-areas;classification-system-and-application-areas;Hong Kong, Hong Kong, Hong Kong, Hong Kong, China
Saha2013;Sriparna Saha and Asif Ekbal;Combining multiple classifiers using vote based classifier ensemble technique for named entity recognition;Data \& Knowledge Engineering;2013;feature-construction;feature-construction;India, India
Vinodhini2016;Vinodhini, G and Chandrasekaran, RM;A comparative performance evaluation of neural network based approach for sentiment classification of online reviews;Journal of King Saud University-Computer and Information Sciences;2016;classification-system-and-application-areas;classification-system-and-application-areas;India, India
Ravi2017;Ravi, Kumar and Ravi, Vadlamani;A novel automatic satire and irony detection using ensembled feature selection and data mining;Knowledge-Based Systems;2017;feature-selection;feature-selection;India, India
Kumar2016128;B. Shravan Kumar and Vadlamani Ravi;A survey of the applications of text mining in financial domain;Knowledge-Based Systems;2016;classification-system-and-application-areas;classification-system-and-application-areas;India, India
Bhushan2017;Bhushan, SN Bharath and Danti, Ajit;Classification of text documents based on score level fusion approach;Pattern Recognition Letters;2017;learning-multiview;learning-multiview;India, India
Agnihotri2017;Agnihotri, Deepak and Verma, Kesari and Tripathi, Priyanka;Variable Global Feature Selection Scheme for automatic classification of text documents;Expert Systems with Applications;2017;feature-selection;feature-selection;India, India, India
Tripathy2017;Abinash Tripathy and Abhishek Anand and Santanu Kumar Rath;Document-level sentiment classification using hybrid machine learning approach;Knowledge and Information Systems;2017;classification-system-and-application-areas;classification-system-and-application-areas-sentiment-analysis;India, India, India
Manek2017;Manek, Asha S and Shenoy, P Deepa and Mohan, M Chandra and Venugopal, KR;Aspect term extraction for sentiment analysis in large movie reviews using Gini Index feature selection method and SVM classifier;World Wide Web;2017;feature-construction;feature-construction;India, India, India, India
Labani2018;Labani, Mahdieh and Moradi, Parham and Ahmadizar, Fardin and Jalili, Mahdi;A novel multivariate filter method for feature selection in text classification problems;Engineering Applications of Artificial Intelligence;2018;feature-selection;feature-selection;Iran, Iran, Iran, Australia
Sheikhpour2017;Razieh Sheikhpour and Mehdi Agha Sarram and Sajjad Gharaghani and Mohammad Ali Zare Chahooki;A Survey on semi-supervised feature selection methods;Pattern Recognition;2017;feature-selection;feature-selection;Iran, Iran, Iran, Iran
Hu2016;Hu, Rong and Mac Namee, Brian and Delany, Sarah Jane;Active learning for text classification with reusability;Expert Systems with Applications;2016;learning-active;learning-active;Ireland, Ireland, Ireland
Nunzio2014;Giorgio Maria Di Nunzio;"A new decision to take for cost-sensitive Na{\""{\i}}ve Bayes classifiers";Information Processing and Management;2014;;;Italy
Cagliero2013;Luca Cagliero and Paolo Garza;Improving classification models with taxonomy information;Data \& Knowledge Engineering;2013;feature-construction;feature-construction;Italy, Italy
Pillai2017;Pillai, Ignazio and Fumera, Giorgio and Roli, Fabio;Designing multi-label classifiers that maximize F measures: State of the art;Pattern Recognition;2017;learning-classification-multilabel;learning-classification-multilabel;Italy, Italy, Italy
Baroni2014;Baroni, Marco and Dinu, Georgiana and Kruszewski, Germ{\'a}n;Don't count, predict! A systematic comparison of context-counting vs. context-predicting semantic vectors;Proceedings of the 52nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers);2014;feature-construction;feature-construction;Italy, Italy, Italy
Ren2013;Fuji Ren and Mohammad Golam Sohrab;Class-indexing-based term weighting for automatic text classification;Information Sciences;2013;feature-weight;feature-weight;Japan, Japan
Ogura2011;Hiroshi Ogura and Hiromi Amano and Masato Kondo;Comparison of metrics for feature selection in imbalanced text classification;Expert Systems with Applications;2011;feature-selection;feature-selection;Japan, Japan, Japan
Jalilvand2017;Jalilvand, Abbas and Salim, Naomie;Feature unionization: A novel approach for dimension reduction;Applied Soft Computing;2017;feature-selection;feature-selection;Malaysia, Iran
Hajmohammadi2014;Mohammad Sadegh Hajmohammadi and Roliana Ibrahim and Ali Selamat;Cross-lingual sentiment classification using multiple source languages in multi-view semi-supervised learning;Engineering Applications of Artificial Intelligence;2014;learning-multiview;learning-multiview;Malaysia, Malaysia, Malaysia
Ghareb2016;Ghareb, Abdullah Saeed and Bakar, Azuraliza Abu and Hamdan, Abdul Razak;Hybrid feature selection based on enhanced genetic algorithm for text categorization;Expert Systems with Applications;2016;feature-selection;feature-selection;Malaysia, Malaysia, Malaysia
Al-Salemi2016;Al-Salemi, Bassam and Noah, Shahrul Azman Mohd and Ab Aziz, Mohd Juzaiddin;RFBoost: an improved multi-label boosting algorithm and its application to text categorisation;Knowledge-Based Systems;2016;learning-classification-multilabel;learning-classification-multilabel;Malaysia, Malaysia, Malaysia
Lee2012;Lee, Lam Hong and Isa, Dino and Choo, Wou Onn and Chue, Wen Yeen;High Relevance Keyword Extraction facility for Bayesian text classification on different domains of varying characteristic;Expert Systems with Applications;2012;feature-construction;feature-construction;Malaysia, Malaysia, Malaysia, Malaysia
Saloot2016;Saloot, Mohammad Arshi and Idris, Norisma and Mahmud, Rohana and Jaafar, Salinah and Thorleuchter, Dirk and Gani, Abdullah;Hadith data mining and classification: a comparative analysis;Artificial Intelligence Review;2016;classification-system-and-application-areas;classification-system-and-application-areas;Malaysia, Malaysia, Malaysia, Malaysia, Germany, Malaysia
Sabbah2016;Thabit Sabbah and Ali Selamat and Md. Hafiz Selamat and Roliana Ibrahim and Hamido Fujita;Hybridized term-weighting method for Dark Web classification;Neurocomputing;2016;classification-system-and-application-areas;classification-system-and-application-areas;Malaysia, Malaysia, Malaysia, Malaysia, Japan
Sharef2015;Sharef, Nurfadhlina Mohd and Martin, Trevor;Evolving fuzzy grammar for crime texts categorization;Applied Soft Computing;2015;learning-interpretable-model;learning-interpretable-model;Malaysia, United Kingdom
Escalante2015;Hugo Jair Escalante and Mauricio A. Garc{\'{\i}}a{-}Lim{\'{o}}n and Alicia Morales{-}Reyes and Mario Graff and Manuel Montes{-}y{-}G{\'{o}}mez and Eduardo F. Morales and Jos{\'{e}} Mart{\'{\i}}nez{-}Carranza;Term-weighting learning via genetic programming for text classification;Knowledge-Based Systems;2015;feature-weight;feature-weight;Mexico, Mexico, Mexico, Mexico, Mexico, Mexico, Mexico
Olvera-Lopez2010;Jos{\'{e}} Arturo Olvera{-}L{\'{o}}pez and Jes{\'{u}}s Ariel Carrasco{-}Ochoa and Jos{\'{e}} Francisco Mart{\'{\i}}nez Trinidad and Josef Kittler;A review of instance selection methods;Artificial Intelligence Review;2010;instance-selection;instance-selection;Mexico, Mexico, Mexico, United Kingdom
Ting97stackedgeneralization;Kai Ming Ting and Ian H. Witten;Proceedings International Joint Conference on Artificial Intelligence;Proceedings International Joint Conference on Artificial Intelligence;1997;learning-ensamble;learning-ensamble;New Zealand, New Zealand
Foulds2010;Foulds, James and Frank, Eibe;A review of multi-instance learning assumptions;The Knowledge Engineering Review;2010;learning-multiple-instance;learning-multiple-instance;New Zealand, New Zealand
Rehman2017;Rehman, Abdur and Javed, Kashif and Babri, Haroon A;Feature selection based on a normalized difference measure for text classification;Information Processing and Management;2017;feature-selection;feature-selection;Pakistan, Pakistan, Pakistan
Sabbah2017;Sabbah, Thabit and Selamat, Ali and Selamat, Md Hafiz and Al-Anzi, Fawaz S and Viedma, Enrique Herrera and Krejcar, Ondrej and Fujita, Hamido;Modified frequency-based term weighting schemes for text classification;Applied Soft Computing;2017;feature-weight;feature-weight;Palestine, Malaysia, Malaysia, Kuwait, Spain, Czech Republic, Japan
Wozniak2014;Wo{\'z}niak, Micha{\l} and Gra{\~n}a, Manuel and Corchado, Emilio;A survey of multiple classifier systems as hybrid systems;Information Fusion;2014;learning-multiview;learning-multiview;Poland, Spain, Spain
Basto-Fernandes2016;Basto-Fernandes, Vitor and Yevseyeva, Iryna and M{\'e}ndez, Jos{\'e} R and Zhao, Jiaqi and Fdez-Riverola, Florentino and Emmerich, Michael TM;A spam filtering multi-objective optimization study covering parsimony maximization and three-way classification;Applied Soft Computing;2016;classification-system-and-application-areas;classification-system-and-application-areas;Portugal, United Kingdom, Spain, China, Spain, The Netherlands
Kim2016;Hyun Kyung Kim and Minyoung Kim;Model-induced term-weighting schemes for text classification;Applied Intelligence;2016;feature-weight;feature-weight;Republic of Korea, Republic of Korea
Li2009a;Cheng Hua Li and Soon Cheol Park;An efficient document classification model using an improved back propagation neural network and singular value decomposition;Expert Systems with Applications;2009;feature-projection;feature-projection;Republic of Korea, Republic of Korea
